"","Code","Year","TFR","C","W15","W20","W25","W30","W35","W40","W45","W","iTFR","p2534","qx","lagTFR","CWR","mult","p15","p20","p25","p30","p35","p40","p45","decade","xTFR","zTFR"
"47","BLR",1968,2.316,789300.64,366855.22,248027.98,341366.59,364070.95,393905.8,363910.17,243027.23,2321163.94,2.38031635111478,0.30391543132451,0.01965,2.2868,0.340045193016397,6.72498846319445,0.158047957612162,0.106855003098144,0.147066988297259,0.156848443027251,0.169701843636258,0.156779176054234,0.104700588274691,"1960",2.33636798567168,2.39615549351343
"48","BLR",1969,2.29,766321.63,370504.66,272032.57,296833.92,374649.67,376315.87,377820.96,266231.01,2334388.66,2.29792557765424,0.287648582905642,0.01879,2.2884,0.328275082522034,6.9709829403406,0.158715926935663,0.116532681408759,0.127157026199742,0.1604915567059,0.161205319597466,0.161850066560896,0.114047422591575,"1960",2.31824810302773,2.37365231762315
"49","BLR",1970,2.354,743893.2,375321.83,297260.92,261101.97,383497.53,362632.58,381091.03,296984.37,2357890.23,2.20843715867129,0.273379774765851,0.01922,2.311,0.315491022667327,7.32508957136589,0.159176973221523,0.126070720433835,0.110735422148978,0.162644352616873,0.153795361372696,0.161623736826799,0.125953433379297,"1970",2.28086695502583,2.32838878451685
"50","BLR",1973,2.227,718620.55,420448.93,357405.1,239130.56,332730.17,358290.64,387520.67,362533.9,2458059.97,2.04646913069416,0.232647183949706,0.01644,2.3084,0.292352732956308,7.89594123734424,0.171049093647622,0.145401293850451,0.0972842660140631,0.135362917935643,0.14576155357186,0.157653057585898,0.147487817394463,"1970",2.25351965655919,2.28016714141011
"51","BLR",1974,2.214,716156.35,434567,363715.93,267902.51,291981.9,371381.63,370941.04,374811.65,2475301.66,2.02524586437679,0.226188354755921,0.01668,2.2932,0.289320837768113,7.92614876166636,0.175561228363576,0.146938022091417,0.108230246975231,0.11795810778069,0.150034897160777,0.14985690269363,0.15142059493468,"1970",2.2521076915124,2.26855543019759
"52","BLR",1977,2.087,725632.87,435356.49,389558.38,347837.58,225987.48,361778.73,357792.49,376553.86,2494865.01,2.03595387711979,0.230002448108405,0.01718,2.161,0.290850553874256,7.42993255888477,0.174501020397893,0.15614407129787,0.139421403004085,0.0905810451043201,0.145009340605566,0.143411562776296,0.15093155681397,"1970",2.25097957002092,2.24549820799347
"53","BLR",1978,2.065,724476.75,432464.98,398434.18,357737.01,239046.26,333319.85,355750.15,381713.27,2498465.7,2.02978061696024,0.238859901098502,0.0176,2.1286,0.289968659565749,7.34079332293272,0.173092222158583,0.159471542875293,0.143182678073187,0.0956772230253151,0.133409816272443,0.142387446023373,0.152779071571805,"1970",2.21397356653114,2.21515585425573
"54","BLR",1984,2.096,789436,376245,425916,412598,365409,268179,287886,361898,2498131,2.21207454693129,0.311435629276447,0.01498,2.0512,0.316010649561612,6.49092048905801,0.15061059648193,0.170493861210641,0.165162675616291,0.146272953660156,0.107351856247731,0.115240553838049,0.144867502945202,"1980",2.14330695342084,2.14527765349642
"55","BLR",1985,2.055,804311,365566,417106,420448,367923,298580,258779,371822,2500224,2.25186903253468,0.315320147314801,0.01425,2.0608,0.321695576076384,6.4060563876411,0.146213299288384,0.166827452260277,0.168164132493729,0.147156014821072,0.119421299851533,0.103502326191573,0.148715475093432,"1980",2.1671800590403,2.15246920528846
"56","BLR",1986,2.156,815146,363036,400772,429539,376557,331729,231355,367154,2500142,2.28227916654334,0.322420086539085,0.01345,2.0904,0.326039880934763,6.41148559497317,0.14520615229055,0.160299694977325,0.171805841428207,0.150614245110878,0.132684063545191,0.0925367439129458,0.146853258734904,"1980",2.16924484742535,2.14797420656976
