"","Code","Year","TFR","C","W15","W20","W25","W30","W35","W40","W45","W","iTFR","p2534","qx","lagTFR","CWR","mult","p15","p20","p25","p30","p35","p40","p45","decade"
"57","AUT",2007,1.385,399333,241659,258398,261030,279734,334465,352450,316459,2044195,1.36744831094881,0.264536406751802,0.00364,1.3994,0.195349758706973,7.16356144621156,0.118217195521954,0.126405748962305,0.127693297361553,0.136843109390249,0.163616973918829,0.172415058250314,0.154808616594796,"2000"
"58","AUT",2008,1.417,396093,243673,256950,268256,271832,325549,352731,325906,2044897,1.35588785156416,0.264115014105845,0.00374,1.4076,0.193698264509166,7.26697269883588,0.119161502999907,0.125654250556385,0.131183135385303,0.132931878720542,0.159200683457406,0.172493284502838,0.159375264377619,"2000"
"59","AUT",2009,1.396,396283,244726,257312,273291,266918,313424,351554,336284,2043509,1.35745964417088,0.264353619191303,0.00376,1.403,0.193922806310126,7.23483754539054,0.119757730452863,0.12591674418855,0.133736137203213,0.13061748198809,0.153375394970122,0.172034475992031,0.16456203520513,"2000"
"60","AUT",2010,1.443,392985,243834,257315,277046,262475,301763,348335,344349,2035117,1.35171343957129,0.26510564257485,0.00397,1.41,0.193101919938755,7.30184350547731,0.119813258893715,0.126437448068096,0.136132713745696,0.128972928829153,0.148277961414503,0.171162149399764,0.169203539649072,"2010"
"61","AUT",2011,1.431,393186,241074,258683,276964,263653,292754,342229,349600,2024957,1.35919034330112,0.266977027166503,0.00359,1.4144,0.194170049043017,7.28433662643126,0.119051416894285,0.12774740401895,0.136775250042347,0.130201777124156,0.144572946487259,0.169005564068768,0.172645641364236,"2010"
"62","AUT",2012,1.44,393699,237509,261003,275403,269690,283454,335611,352351,2015021,1.36767458006641,0.270514798605077,0.00323,1.4254,0.19538208286663,7.29544889217397,0.117869243050072,0.129528674887259,0.136675002394516,0.133839796210561,0.140670494252914,0.166554591738746,0.174862197465932,"2010"
"63","AUT",2013,1.436,396879,233817,264788,274611,277264,276336,327560,353242,2007618,1.38380558452853,0.274890442305259,0.00312,1.4292,0.197686512075504,7.22962828872276,0.116464885252075,0.131891624801132,0.136784487885644,0.138105954419616,0.137643715089225,0.16315852916242,0.175950803389888,"2010"
"64","AUT",2014,1.464,399504,228834,267430,277369,283973,272964,316726,352873,2000169,1.39814585667511,0.280647285304392,0.00312,1.4428,0.199735122382159,7.22356680583924,0.114407332580397,0.133703702037178,0.138672782149908,0.141974503154483,0.136470468245433,0.158349619457156,0.176421592375444,"2010"
"65","BLR",1964,2.282,928505.68,296779.88,318039.58,387818.1,383708.33,383707.7,269292.33,209078.95,2248424.87,2.89070800039674,0.343140853979257,0.02534,NA,0.412958285770963,NA,0.131994572716143,0.141449947580414,0.172484349010069,0.170656504969188,0.170656224773034,0.119769325447819,0.0929890755033323,"1960"
"66","BLR",1965,2.241,893552.22,320636.37,285742.46,394805.87,374151,385456.05,301813.2,192520.75,2255125.7,2.77362168326138,0.340981821988903,0.02268,NA,0.39623166903734,NA,0.142181152030683,0.126707996809224,0.175070449509755,0.165911372479148,0.170924418980281,0.133834313537378,0.0853702966535302,"1960"
